PC:FD24 Opcode:78	A:00 X:00 Y:00	S:FF P:20
PC:FD25 Opcode:D8	A:00 X:00 Y:00	S:FF P:24
PC:FD26 Opcode:A9	A:00 X:00 Y:00	S:FF P:24
PC:FD28 Opcode:8D	A:00 X:00 Y:00	S:FF P:26
PC:FD2B Opcode:8D	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
PC:FD2E Opcode:AD	A:00 X:00 Y:00	S:FF P:26
PC:FD31 Opcode:10	A:00 X:00 Y:00	S:FF P:26
